iter	Passed	Remaining
968	4723	151
969	4726	146
970	4731	141
971	4733	136
972	4742	131
973	4745	126
974	4753	121
975	4756	116
976	4761	112
977	4776	107
978	4780	102
979	4783	97
980	4787	92
981	4790	87
982	4796	82
983	4800	78
984	4803	73
985	4807	68
986	4810	63
987	4815	58
988	4818	53
989	4823	48
990	4826	43
991	4829	38
992	4837	34
993	4840	29
994	4846	24
995	4849	19
996	4856	14
997	4860	9
998	4862	4
999	4868	0
